date,f
2020-01-06,-0.16637142857142856
2020-01-07,-0.1639955
2020-01-08,-0.16549435714285712
2020-01-09,-0.1669932142857143
2020-01-10,-0.16849207142857142
2020-01-11,-0.16999092857142858
2020-01-12,-0.17148978571428572
2020-01-13,-0.17298864285714288
2020-01-14,-0.17448750000000002
2020-01-15,-0.17627064285714286
2020-01-16,-0.17805378571428573
2020-01-17,-0.17983692857142858
2020-01-18,-0.18162007142857145
2020-01-19,-0.1834032142857143
2020-01-20,-0.18518635714285717
2020-01-21,-0.1869695
2020-01-22,-0.18710907142857144
2020-01-23,-0.18724864285714288
2020-01-24,-0.1873882142857143
2020-01-25,-0.18752778571428572
2020-01-26,-0.18766735714285715
2020-01-27,-0.18780692857142858
2020-01-28,-0.18794650000000002
2020-01-29,-0.19034285714285715
2020-01-30,-0.1927392142857143
2020-01-31,-0.19513557142857144
2020-02-01,-0.19753192857142857
2020-02-02,-0.1999282857142857
2020-02-03,-0.20232464285714286
2020-02-04,-0.204721
2020-02-05,-0.20925649999999998
2020-02-06,-0.21379199999999998
2020-02-07,-0.21832749999999998
2020-02-08,-0.22286299999999998
2020-02-09,-0.2273985
2020-02-10,-0.231934
2020-02-11,-0.2364695
2020-02-12,-0.24183192857142857
2020-02-13,-0.24719435714285715
2020-02-14,-0.25255678571428575
2020-02-15,-0.2579192142857143
2020-02-16,-0.2632816428571429
2020-02-17,-0.26864407142857144
2020-02-18,-0.27400650000000004
2020-02-19,-0.28888435714285715
2020-02-20,-0.3037622142857143
2020-02-21,-0.3186400714285714
2020-02-22,-0.3335179285714286
2020-02-23,-0.3483957857142857
2020-02-24,-0.3632736428571428
2020-02-25,-0.3781515
2020-02-26,-0.39413207142857143
2020-02-27,-0.41011264285714283
2020-02-28,-0.4260932142857143
2020-02-29,-0.4420737857142857
2020-03-01,-0.45805435714285714
2020-03-02,-0.47403492857142854
2020-03-03,-0.4900155
2020-03-04,-0.5105077857142857
2020-03-05,-0.5310000714285714
2020-03-06,-0.5514923571428572
2020-03-07,-0.5719846428571429
2020-03-08,-0.5924769285714286
2020-03-09,-0.6129692142857143
2020-03-10,-0.6334615
2020-03-11,-0.6592965714285715
2020-03-12,-0.6851316428571429
2020-03-13,-0.7109667142857143
2020-03-14,-0.7368017857142857
2020-03-15,-0.7626368571428571
2020-03-16,-0.7884719285714286
2020-03-17,-0.814307
2020-03-18,-0.8356037142857143
2020-03-19,-0.8569004285714286
2020-03-20,-0.8781971428571429
2020-03-21,-0.8994938571428571
2020-03-22,-0.9207905714285715
2020-03-23,-0.9420872857142857
2020-03-24,-0.963384
2020-03-25,-1.0222105714285714
2020-03-26,-1.0810371428571428
2020-03-27,-1.1398637142857142
2020-03-28,-1.1986902857142856
2020-03-29,-1.2575168571428572
2020-03-30,-1.3163434285714286
2020-03-31,-1.37517
2020-04-01,-1.3769442857142857
2020-04-02,-1.3787185714285715
2020-04-03,-1.3804928571428572
2020-04-04,-1.3822671428571427
2020-04-05,-1.3840414285714284
2020-04-06,-1.3858157142857142
2020-04-07,-1.3875899999999999
2020-04-08,-1.399577857142857
2020-04-09,-1.4115657142857143
2020-04-10,-1.4235535714285714
2020-04-11,-1.4355414285714285
2020-04-12,-1.4475292857142856
2020-04-13,-1.459517142857143
2020-04-14,-1.471505
